Gaming,Last,Overall,Attendance,Preparation
More than 3 Hours,1.0,1.0,Below 40%,0-1 Hour
More than 3 Hours,1.06,1.06,60%-79%,0-1 Hour
More than 3 Hours,2.95,1.25,80%-100%,2-3 Hours
More than 3 Hours,1.42,1.44,Below 40%,0-1 Hour
More than 3 Hours,1.56,1.56,Below 40%,0-1 Hour
More than 3 Hours,1.57,1.57,Below 40%,0-1 Hour
More than 3 Hours,1.57,1.57,60%-79%,0-1 Hour
More than 3 Hours,1.0,1.6,60%-79%,0-1 Hour
More than 3 Hours,1.62,1.62,Below 40%,0-1 Hour
More than 3 Hours,1.69,1.69,Below 40%,0-1 Hour
More than 3 Hours,1.69,1.72,60%-79%,0-1 Hour
More than 3 Hours,1.33,1.75,60%-79%,0-1 Hour
More than 3 Hours,1.75,1.75,60%-79%,0-1 Hour
More than 3 Hours,1.25,1.75,60%-79%,0-1 Hour
0-1 Hour,1.79,1.8,80%-100%,0-1 Hour
More than 3 Hours,1.63,1.86,60%-79%,0-1 Hour
More than 3 Hours,1.88,1.88,60%-79%,0-1 Hour
More than 3 Hours,1.89,1.89,60%-79%,0-1 Hour
More than 3 Hours,1.45,1.9,Below 40%,0-1 Hour
More than 3 Hours,1.92,1.92,60%-79%,0-1 Hour
More than 3 Hours,2.06,1.97,60%-79%,2-3 Hours
0-1 Hour,2.33,2.0,60%-79%,0-1 Hour
More than 3 Hours,2.16,2.0,60%-79%,2-3 Hours
More than 3 Hours,1.5,2.02,60%-79%,0-1 Hour
More than 3 Hours,1.64,2.1,60%-79%,0-1 Hour
More than 3 Hours,1.33,2.1,Below 40%,0-1 Hour
More than 3 Hours,2.5,2.1,60%-79%,2-3 Hours
More than 3 Hours,2.23,2.17,40%-59%,0-1 Hour
More than 3 Hours,2.17,2.17,40%-59%,0-1 Hour
More than 3 Hours,2.08,2.17,40%-59%,0-1 Hour
More than 3 Hours,1.94,2.2,60%-79%,0-1 Hour
More than 3 Hours,2.0,2.22,60%-79%,0-1 Hour
More than 3 Hours,2.25,2.25,40%-59%,0-1 Hour
More than 3 Hours,2.25,2.25,40%-59%,0-1 Hour
More than 3 Hours,2.25,2.25,40%-59%,0-1 Hour
More than 3 Hours,2.31,2.28,60%-79%,2-3 Hours
More than 3 Hours,2.3,2.3,40%-59%,0-1 Hour
More than 3 Hours,2.25,2.3,60%-79%,2-3 Hours
More than 3 Hours,2.31,2.31,40%-59%,0-1 Hour
More than 3 Hours,2.31,2.31,40%-59%,0-1 Hour
More than 3 Hours,2.33,2.33,40%-59%,0-1 Hour
More than 3 Hours,2.33,2.33,40%-59%,0-1 Hour
More than 3 Hours,2.39,2.35,40%-59%,0-1 Hour
More than 3 Hours,2.35,2.35,40%-59%,0-1 Hour
More than 3 Hours,2.35,2.35,40%-59%,0-1 Hour
More than 3 Hours,2.38,2.38,40%-59%,0-1 Hour
More than 3 Hours,2.38,2.38,40%-59%,0-1 Hour
More than 3 Hours,2.44,2.44,40%-59%,0-1 Hour
More than 3 Hours,2.44,2.44,40%-59%,0-1 Hour
More than 3 Hours,2.35,2.45,80%-100%,0-1 Hour
More than 3 Hours,2.25,2.45,60%-79%,2-3 Hours
More than 3 Hours,2.58,2.47,60%-79%,2-3 Hours
0-1 Hour,3.0,2.5,80%-100%,2-3 Hours
More than 3 Hours,2.73,2.5,60%-79%,0-1 Hour
More than 3 Hours,2.5,2.5,40%-59%,0-1 Hour
More than 3 Hours,2.83,2.53,60%-79%,2-3 Hours
2-3 Hours,2.24,2.55,80%-100%,0-1 Hour
More than 3 Hours,2.56,2.56,40%-59%,0-1 Hour
More than 3 Hours,2.56,2.56,40%-59%,0-1 Hour
More than 3 Hours,2.56,2.56,40%-59%,0-1 Hour
More than 3 Hours,3.0,2.58,80%-100%,More than 3 Hours
More than 3 Hours,2.64,2.64,40%-59%,0-1 Hour
More than 3 Hours,2.69,2.69,40%-59%,0-1 Hour
More than 3 Hours,2.69,2.69,40%-59%,0-1 Hour
More than 3 Hours,2.69,2.69,40%-59%,0-1 Hour
More than 3 Hours,2.69,2.69,40%-59%,0-1 Hour
More than 3 Hours,2.88,2.7,60%-79%,0-1 Hour
More than 3 Hours,2.83,2.7,60%-79%,0-1 Hour
More than 3 Hours,2.83,2.7,60%-79%,0-1 Hour
